;global_id;CommonName;LegalAddress;понедельник;вторник;среда;четверг;пятница;суббота;воскресенье;долгота;широта
0;477012208;Кинотеатр «Салют»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.571298748323;55.682806921335
1;477012215;Кинотеатр «Тула»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;37.718514574853;55.685873427249
2;477012217;Кинотеатр «Березка»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.802542213804;55.749856350226
3;477012363;Кинотеатр «Полет»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.442905679029;55.846061587503
4;477012415;Кинотеатр «Вымпел»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.67655120948;55.861865414301
5;477012551;Киноклуб «Эльдар»;119421, г. Москва, Ленинский проспект, дом 105;10:00-19:00;10:00-19:00;10:00-19:00;10:00-19:00;10:00-19:00;выходной;выходной;37.513397905715;55.665294620796
6;477012571;Кинотеатр «Молодежный»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.731486249364;55.710878760587
7;477012637;Кинотеатр «Художественный»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";закрыто;закрыто;закрыто;закрыто;закрыто;закрыто;закрыто;37.602035656597;55.752389186903
8;477012638;Кинотеатр «Космос»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.636570015095;55.818688276424
9;477012664;Кинотеатр «Сатурн»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.647549431649;55.851975495106
10;477012668;Кинотеатр «Искра»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.571216153281;55.81440541104
11;477012811;Кинотеатр «Звезда»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.657054408977;55.759788995594
12;477012896;Кинотеатр «Спутник»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;09:00-23:00;37.705595234275;55.764364609881
13;477012897;Кинотеатр «Факел»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.716203434384;55.751790155202
14;477013008;Кинотеатр «Юность»;"115035, г. Москва, Пятницкая улица, дом 2/38, строение 1
";09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;37.49532971044;55.795156587519
